"linkId","coding_1","coding_0","score","text"
1,33,46,41.77,"Wurden Ihnen die möglichen Nebenwirkungen der Behandlung(en) in verständlicher Weise erklärt?"
2,16,62,20.51,"Hat man Sie auch über Nebenwirkungen informiert, die später und nicht nur direkt im Anschluss an die Behandlung auftreten können?"
3,32,46,41.03,"Wurden Sie in die Entscheidungen bezüglich Ihrer Behandlungen in gewünschtem Umfang einbezogen?"
4,31,39,44.29,"Waren Ihre Familie oder nahestehende Personen im von Ihnen gewünschten Umfang in die Entscheidungen zu Ihren Behandlungen einbezogen?"
5,29,46,38.67,"Wurden Ihre Lebensgewohnheiten und Ihre familiäre und/oder berufliche Situation bei den Entscheidungen zu Ihren Behandlungen berücksichtigt?"
6,36,30,54.55,"Hat man mit Ihnen darüber gesprochen oder Ihnen Informationen dazu gegeben, welche Auswirkungen die Krebserkrankung auf Ihren Alltag hat (zum Beispiel auf Ihrer Arbeit, auf Ihre Freizeit)?"
7,8,69,10.39,"Hat man Ihnen ausreichend praktische Ratschläge gegeben und/oder Unterstützung angeboten, um mit den Langzeitfolgen der Krebserkrankung oder der Behandlungen um-zugehen (zum Beispiel Müdigkeit, Schmerzen, Angst)?"
8,15,64,18.99,"Hatten Sie am Ende der Behandlungen alle nötigen Informationen zur Nachsorge?"
11,47,21,69.12,"Hat man Ihnen Informationen zu Unterstützungs- oder Selbsthilfegruppen für Krebsbetroffene gegeben?"
12,48,18,72.73,"Hat man Ihnen Informationen zu Hilfs- und Unterstützungsangeboten gegeben, um Ihnen zu helfen, mit Ihren Gefühlen umzugehen (zum Beispiel Stress, Angst, Traurigkeit)?"
13,19,40,32.2,"Hat man Ihnen Informationen dazu gegeben, wie Sie finanzielle Unterstützung oder Leistungen erhalten können, auf die Sie möglicherweise Anspruch haben?"
16,48,25,65.75,"Kam es im Lauf Ihrer Behandlung vor, dass Testergebnisse oder Ihre Krankenakte nicht rechtzeitig zum Behandlungstermin verfügbar waren?"
17,40,37,51.95,"Kam es im Lauf Ihrer Behandlung vor, dass man Ihnen verwirrende oder widersprüchliche Informationen zu Ihrem Gesundheitszustand oder Ihren Behandlungen gegeben hat?"
18,64,13,83.12,"Hatten Sie während Ihrer Behandlung den Eindruck, dass Tests oder andere Analysen unnötig wiederholt wurden?"
